Design No.,Contractor,Mix Type,Grade,Binder Content,Binder Type,Traffic Level,FLc,Flf,AL,GA,HN,IL,JA,KY,MX,NS,NB,QC,SC,TN,AL2,GA2,HN2,IL2,JA2,KY2,MX2,NS2,NB2,QC2,SC2,TN2,Sand,RAP,BLEND SUM,Design No.
10533A,Orlando Paving Co.,FC 12.5,Fine,4.9,ARB 5,C,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 12 10533A
10534A,Orlando Paving Co.,SP 12.5,Fine,4.9,PG 76 22 (PMA),C,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SPM 12 10534A
10535A,Orlando Paving Co.,SP 12.5,Fine,4.9,PG 67 22,C,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00,SP 12 10535A
10536A,Ranger Construction,FC 12.5,Fine,5.2,ARB 5,C,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,20.00,100.00,SP 12 10536A
10537A,Middlesex Asphalt LLC,SP 12.5,Fine,5.3,RA 550,C,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,45.00,100.00,SP 12 10537A
10538A,APAC First Coast Division,SP 12.5,Fine,5.3,RA 750,C,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,27.00,100.00,SP 12 10538A
10539A,APAC First Coast Division,SP 9.5,Fine,6.0,RA 750,C,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,28.00,100.00,SP 12 10539A
10540A,APAC First Coast Division,FC 9.5,Fine,5.7,PG 76 22 (PMA),C,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SPM 12 10540A
10541A,APAC Central Fla. Division,SP 12.5,Fine,6.8,RA 1500,E,39.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,100.00,SP 12 10541A
10542A,Anderson Columbia,SP 12.5,Fine,5.1,PG 76 22 (PMA),C,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SPM 12 10542A
10543A,APAC Central Fla. Division,SP 9.5,Fine,7.2,RA 1500,C,35.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,100.00,SP 12 10543A
10544A,APAC Central Fla. Division,SP 12.5,Fine,7.0,RA 1500,B,41.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,100.00,SP 12 10544A
10545A,D.A.B. Constructors,FC 5,0 ,6.0,PG 76 22 (PMA),0 ,0.00,0.00,0.00,94.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SPM 12 10545A
10546A,Atlantic Coast Asphalt,FC 9.5,Fine,5.7,ARB 5,C,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,100.00,SP 12 10546A
10547A,Atlantic Coast Asphalt,SP 9.5,Fine,5.7,PG 76 22 (PMA),C,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,100.00,SPM 12 10547A
10548A,Atlantic Coast Asphalt,SP 9.5,Fine,5.7,PG 67 22,C,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,100.00,SP 12 10548A
10549A,Better Roads Inc.,SP 12.5,Fine,5.5,RA 550,E,0.00,20.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,35.00,100.00,SP 12 10549A
10550A,APAC Central Fla. Division,FC 12.5,Fine,5.3,ARB 5,D,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10550A
10551A,Lane Construction,SP 12.5,Fine,5.4,RA 1000,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,6.00,30.00,100.00,SP 12 10551A
10552A,Lane Construction,SP 12.5,Fine,5.4,RA 1000,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,5.00,30.00,100.00,SP 12 10552A
10553A,APAC Central Fla. Division,FC 12.5,Fine,5.4,ARB 5,D,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10553A
10554A,V.E. Whitehurst & Sons,SP 12.5,Fine,5.3,RA 1000,C,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SP 12 10554A
10555A,V.E. Whitehurst & Sons,FC 12.5,Fine,5.3,PG 76 22 (PMA),C,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SPM 12 10555A
10556A,V.E. Whitehurst & Sons,FC 12.5,Fine,5.3,ARB 5,C,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SP 12 10556A
10557A,APAC Central Fla. Division,FC 12.5,Fine,5.6,ARB 5,C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10557A
10558A,APAC Central Fla. Division,SP 12.5,Fine,5.6,PG 76 22 (PMA),C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SPM 12 10558A
10559A,APAC Central Fla. Division,SP 12.5,Fine,5.6,PG 64 22,C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10559A
10560A,APAC Central Fla. Division,FC 12.5,Fine,5.4,ARB 5,C,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 12 10560A
10561A,APAC Central Fla. Division,SP 12.5,Fine,5.4,PG 76 22 (PMA),C,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SPM 12 10561A
10562A,APAC Central Fla. Division,SP 12.5,Fine,5.4,PG 64 22,C,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SP 12 10562A
10563A,Orlando Paving Co.,FC 12.5,Fine,4.8,ARB 5,C,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,9.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,20.00,100.00,SP 12 10563A
10564A,Orlando Paving Co.,SP 12.5,Fine,4.8,PG 76 22 (PMA),C,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,9.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,20.00,100.00,SPM 12 10564A
10565A,Orlando Paving Co.,SP 12.5,Fine,4.8,RA 1500,C,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,9.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,20.00,100.00,SP 12 10565A
10566A,APAC Central Fla. Division,SP 12.5,Fine,5.4,RA 1000,C,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,35.00,100.00,SP 12 10566A
10567A,D.A.B. Constructors,SP 9.5,Fine,5.5,PG 76 22 (PMA),C,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 12 10567A
10568A,APAC Central Fla. Division,SP 12.5,Fine,5.5,PG 76 22 (PMA),D,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,100.00,SPM 12 10568A
10569A,P & S Paving Inc.,SP 12.5,Fine,5.2,RA 1000,B,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,40.00,100.00,SP 12 10569A
10570A,APAC Central Fla. Division,SP 12.5,Fine,5.2,RA 1000,D,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,34.00,100.00,SP 12 10570A
10571A,APAC Central Fla. Division,FC 9.5,Fine,5.9,ARB 5,C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10571A
10572A,APAC Central Fla. Division,SP 9.5,Fine,5.9,PG 76 22 (PMA),C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SPM 12 10572A
10573A,APAC Central Fla. Division,SP 9.5,Fine,5.9,PG 64 22,C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10573A
10574A,APAC Central Fla. Division,FC 12.5,Fine,5.5,ARB 5,C,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10574A
10575A,APAC Central Fla. Division,SP 12.5,Fine,5.5,PG 76 22 (PMA),C,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SPM 12 10575A
10576A,APAC Central Fla. Division,SP 12.5,Fine,5.5,PG 64 22,C,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10576A
10577A,APAC Central Fla. Division,SP 12.5,Fine,5.4,PG 76 22 (PMA),D,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SPM 12 10577A
10578A,APAC Central Fla. Division,SP 12.5,Fine,5.4,PG 64 22,D,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,100.00,SP 12 10578A
10579A,APAC Central Fla. Division,FC 9.5,Fine,5.8,ARB 5,C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,20.00,100.00,SP 12 10579A
10580A,APAC Central Fla. Division,SP 9.5,Fine,5.8,PG 76 22 (PMA),C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,20.00,100.00,SPM 12 10580A
10581A,APAC Central Fla. Division,SP 9.5,Fine,5.8,PG 64 22,C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,20.00,100.00,SP 12 10581A
10582A,Anderson Columbia,SP 9.5,Fine,6.0,PG 76 22 (PMA),C,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 12 10582A
10583A,APAC Central Fla. Division,FC 12.5,Fine,5.5,PG 76 22 (PMA),C,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,20.00,100.00,SPM 12 10583A
10584A,Lane Construction,FC 12.5,Fine,5.2,PG 76 22 (PMA),E,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SPM 12 10584A
10585A,Community Asphalt Corp.,FC 12.5,Fine,5.9,ARB 5,D,65.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SP 12 10585A
10586A,Anderson Columbia,SP 12.5,Fine,5.2,RA 1500,C,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SP 12 10586A
10587A,Anderson Columbia,FC 12.5,Fine,5.2,PG 76 22 (PMA),C,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SPM 12 10587A
10588A,Anderson Columbia,FC 12.5,Fine,5.2,ARB 5,C,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SP 12 10588A
10589A,APAC Central Fla. Division,SP 12.5,Fine,5.5,PG 76 22 (PMA),D,0.00,8.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SPM 12 10589A
10590A,Better Roads Inc.,SP 9.5,Fine,5.9,RA 750,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,8.00,35.00,100.00,SPW 12 10590A
10591A,Ranger Construction,SP 9.5,Fine,5.9,RA 1000,C,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,40.00,100.00,SP 12 10591A
10592A,Anderson Columbia,SP 12.5,Fine,5.3,PG 76 22 (PMA),E,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SPM 12 10592A
10593A,APAC Central Fla. Division,SP 9.5,Fine,5.8,PG 76 22 (PMA),C,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,100.00,SPM 12 10593A
10594A,Orlando Paving Co.,SP 12.5,Fine,4.9,RA 550,C,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,41.00,100.00,SP 12 10594A
10595A,Ranger Construction,SP 12.5,Fine,5.4,RA 750,C,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,40.00,100.00,SP 12 10595A
10596A,Ranger Construction,SP 12.5,Fine,5.8,PG 76 22 (PMA),C,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,15.00,100.00,SPM 12 10596A
10597A,Community Asphalt Corp.,FC 12.5,Fine,5.9,PG 76 22 (PMA),D,65.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,SPM 12 10597A
10598A,Anderson Columbia,SP 9.5,Fine,5.8,PG 76 22 (PMA),C,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,20.00,100.00,SPM 12 10598A
10599A,Ranger Construction,SP 9.5,Fine,6.5,RA 1500,C,28.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,100.00,SP 12 10599A
10600A,APAC Central Fla. Division,FC 12.5,Fine,5.2,PG 76 22 (PMA),D,0.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,20.00,100.00,SPM 12 10600A
10601A,APAC Central Fla. Division,SP 9.5,Fine,5.7,RA 1000,C,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,35.00,100.00,SP 12 10601A
10602A,APAC Central Fla. Division,FC 9.5,Fine,5.7,PG 76 22 (PMA),C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,20.00,100.00,SPM 12 10602A
10603A,Middlesex Asphalt LLC,SP 9.5,Fine,5.7,PG 67 22,C,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,100.00,SP 12 10603A
10604A,Middlesex Asphalt LLC,SP 12.5,Fine,5.3,PG 67 22,C,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,100.00,SP 12 10604A
10605A,P & S Paving Inc.,SP 9.5,Fine,5.9,RA 1000,C,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,35.00,100.00,SP 12 10605A
10606A,P & S Paving Inc.,SP 12.5,Fine,5.3,RA 1000,C,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,39.00,100.00,SP 12 10606A
10607A,C.W. Roberts Contracting,FC 5,0 ,5.7,PG 76 22 (PMA),0 ,0.00,0.00,0.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,SPM 12 10607A
10608A,General Asphalt of Lakeland,FC 9.5,Fine,6.0,ARB 5,C,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,20.00,100.00,SP 12 10608A
10609A,General Asphalt of Lakeland,FC 12.5,Fine,5.3,ARB 5,C,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,20.00,100.00,SP 12 10609A
10610A,Ajax Paving Industries Inc.,SP 12.5,Fine,5.6,PG 76 22 (PMA),E,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00,SPM 12 10610A
10611A,John C. Hipp Construction,SP 12.5,Fine,5.4,RA 1000,C,0.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,25.00,100.00,SP 12 10611A
10612A,John C. Hipp Construction,SP 12.5,Fine,5.4,PG 76 22 (PMA),C,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,15.00,100.00,SPM 12 10612A
10614A,Hardrives Inc.,SP 12.5,Fine,6.5,RA 1500,D,37.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00,100.00,SP 12 10614A
10615A,APAC Central Fla. Division,FC 9.5,Fine,5.8,ARB 5,C,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,20.00,100.00,SP 12 10615A
10616A,APAC First Coast Division,SP 12.5,Fine,5.4,PG 76 22 (PMA),D,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,20.00,100.00,SPM 12 10616A
